icp_number,meter_serial_number,channel_number,started_at,ended_at,value,unit_code,status
0000168329CK1A8,251140160,1,04/07/2024 11:30,04/07/2024 11:59,0.208,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 12:00,04/07/2024 12:29,0.230,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 12:30,04/07/2024 12:59,0.221,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 13:00,04/07/2024 13:29,0.722,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 13:30,04/07/2024 13:59,0.245,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 14:00,04/07/2024 14:29,0.360,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 14:30,04/07/2024 14:59,0.586,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 15:00,04/07/2024 15:29,0.155,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 15:30,04/07/2024 15:59,0.129,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 16:00,04/07/2024 16:29,0.175,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 16:30,04/07/2024 16:59,0.213,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 17:00,04/07/2024 17:29,0.307,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 17:30,04/07/2024 17:59,0.226,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 18:00,04/07/2024 18:29,0.236,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 18:30,04/07/2024 18:59,0.647,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 19:00,04/07/2024 19:29,0.738,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 19:30,04/07/2024 19:59,0.261,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 20:00,04/07/2024 20:29,0.777,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 20:30,04/07/2024 20:59,0.440,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 21:00,04/07/2024 21:29,0.857,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 21:30,04/07/2024 21:59,1.254,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 22:00,04/07/2024 22:29,0.452,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 22:30,04/07/2024 22:59,1.324,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 23:00,04/07/2024 23:29,1.418,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 23:30,04/07/2024 23:59,1.464,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 00:00,05/07/2024 00:29,1.398,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 00:30,05/07/2024 00:59,1.385,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 01:00,05/07/2024 01:29,0.630,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 01:30,05/07/2024 01:59,0.221,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 02:00,05/07/2024 02:29,0.274,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 02:30,05/07/2024 02:59,0.241,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 03:00,05/07/2024 03:29,0.247,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 03:30,05/07/2024 03:59,0.264,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 04:00,05/07/2024 04:29,0.277,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 04:30,05/07/2024 04:59,0.244,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 05:00,05/07/2024 05:29,0.363,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 05:30,05/07/2024 05:59,0.862,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 06:00,05/07/2024 06:29,0.272,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 06:30,05/07/2024 06:59,0.263,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 07:00,05/07/2024 07:29,0.384,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 07:30,05/07/2024 07:59,0.348,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 08:00,05/07/2024 08:29,0.329,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 08:30,05/07/2024 08:59,0.842,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 09:00,05/07/2024 09:29,0.272,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 09:30,05/07/2024 09:59,0.290,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 10:00,05/07/2024 10:29,0.241,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 10:30,05/07/2024 10:59,0.242,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 11:00,05/07/2024 11:29,0.239,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 11:30,05/07/2024 11:59,0.184,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 12:00,05/07/2024 12:29,0.208,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 12:30,05/07/2024 12:59,0.175,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 13:00,05/07/2024 13:29,0.206,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 13:30,05/07/2024 13:59,1.353,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 14:00,05/07/2024 14:29,1.458,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 14:30,05/07/2024 14:59,1.447,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 15:00,05/07/2024 15:29,1.288,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 15:30,05/07/2024 15:59,1.318,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 16:00,05/07/2024 16:29,1.380,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 16:30,05/07/2024 16:59,1.365,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 17:00,05/07/2024 17:29,0.587,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 17:30,05/07/2024 17:59,0.788,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 18:00,05/07/2024 18:29,0.669,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 18:30,05/07/2024 18:59,0.262,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 19:00,05/07/2024 19:29,0.239,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 19:30,05/07/2024 19:59,0.965,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 20:00,05/07/2024 20:29,0.293,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 20:30,05/07/2024 20:59,0.288,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 21:00,05/07/2024 21:29,0.972,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 21:30,05/07/2024 21:59,0.311,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 22:00,05/07/2024 22:29,0.348,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 22:30,05/07/2024 22:59,0.408,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 23:00,05/07/2024 23:29,0.326,kWh,validated
0000168329CK1A8,251140160,1,05/07/2024 23:30,05/07/2024 23:59,0.348,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 00:00,06/07/2024 00:29,0.275,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 00:30,06/07/2024 00:59,0.235,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 01:00,06/07/2024 01:29,0.250,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 01:30,06/07/2024 01:59,0.769,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 02:00,06/07/2024 02:29,0.260,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 02:30,06/07/2024 02:59,0.265,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 03:00,06/07/2024 03:29,0.264,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 03:30,06/07/2024 03:59,0.253,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 04:00,06/07/2024 04:29,0.287,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 04:30,06/07/2024 04:59,0.237,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 05:00,06/07/2024 05:29,0.295,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 05:30,06/07/2024 05:59,0.269,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 06:00,06/07/2024 06:29,0.276,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 06:30,06/07/2024 06:59,0.295,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 07:00,06/07/2024 07:29,0.305,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 07:30,06/07/2024 07:59,0.624,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 08:00,06/07/2024 08:29,0.451,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 08:30,06/07/2024 08:59,0.271,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 09:00,06/07/2024 09:29,0.338,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 09:30,06/07/2024 09:59,0.250,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 10:00,06/07/2024 10:29,0.317,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 10:30,06/07/2024 10:59,0.246,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 11:00,06/07/2024 11:29,0.184,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 11:30,06/07/2024 11:59,0.180,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 12:00,06/07/2024 12:29,0.184,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 12:30,06/07/2024 12:59,0.204,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 13:00,06/07/2024 13:29,0.164,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 13:30,06/07/2024 13:59,0.955,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 14:00,06/07/2024 14:29,1.259,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 14:30,06/07/2024 14:59,1.307,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 15:00,06/07/2024 15:29,1.295,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 15:30,06/07/2024 15:59,1.265,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 16:00,06/07/2024 16:29,1.032,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 16:30,06/07/2024 16:59,0.189,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 17:00,06/07/2024 17:29,0.199,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 17:30,06/07/2024 17:59,0.220,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 18:00,06/07/2024 18:29,0.225,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 18:30,06/07/2024 18:59,0.842,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 19:00,06/07/2024 19:29,0.453,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 19:30,06/07/2024 19:59,0.270,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 20:00,06/07/2024 20:29,0.234,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 20:30,06/07/2024 20:59,0.234,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 21:00,06/07/2024 21:29,0.231,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 21:30,06/07/2024 21:59,0.239,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 22:00,06/07/2024 22:29,0.273,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 22:30,06/07/2024 22:59,0.259,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 23:00,06/07/2024 23:29,0.288,kWh,validated
0000168329CK1A8,251140160,1,06/07/2024 23:30,06/07/2024 23:59,0.777,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 00:00,07/07/2024 00:29,0.265,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 00:30,07/07/2024 00:59,0.231,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 01:00,07/07/2024 01:29,0.259,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 01:30,07/07/2024 01:59,0.274,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 02:00,07/07/2024 02:29,0.239,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 02:30,07/07/2024 02:59,0.255,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 03:00,07/07/2024 03:29,0.251,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 03:30,07/07/2024 03:59,0.268,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 04:00,07/07/2024 04:29,0.240,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 04:30,07/07/2024 04:59,0.256,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 05:00,07/07/2024 05:29,0.254,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 05:30,07/07/2024 05:59,0.246,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 06:00,07/07/2024 06:29,0.792,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 06:30,07/07/2024 06:59,0.269,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 07:00,07/07/2024 07:29,0.253,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 07:30,07/07/2024 07:59,0.238,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 08:00,07/07/2024 08:29,0.237,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 08:30,07/07/2024 08:59,0.267,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 09:00,07/07/2024 09:29,0.367,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 09:30,07/07/2024 09:59,0.339,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 10:00,07/07/2024 10:29,0.580,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 10:30,07/07/2024 10:59,0.505,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 11:00,07/07/2024 11:29,0.457,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 11:30,07/07/2024 11:59,0.300,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 12:00,07/07/2024 12:29,0.305,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 12:30,07/07/2024 12:59,1.198,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 13:00,07/07/2024 13:29,1.282,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 13:30,07/07/2024 13:59,2.067,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 14:00,07/07/2024 14:29,1.523,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 14:30,07/07/2024 14:59,0.164,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 15:00,07/07/2024 15:29,0.020,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 15:30,07/07/2024 15:59,0.063,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 16:00,07/07/2024 16:29,0.245,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 16:30,07/07/2024 16:59,0.354,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 17:00,07/07/2024 17:29,1.217,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 17:30,07/07/2024 17:59,0.619,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 18:00,07/07/2024 18:29,0.141,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 18:30,07/07/2024 18:59,0.087,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 19:00,07/07/2024 19:29,0.067,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 19:30,07/07/2024 19:59,0.479,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 20:00,07/07/2024 20:29,0.277,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 20:30,07/07/2024 20:59,0.085,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 21:00,07/07/2024 21:29,0.083,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 21:30,07/07/2024 21:59,0.858,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 22:00,07/07/2024 22:29,0.274,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 22:30,07/07/2024 22:59,0.486,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 23:00,07/07/2024 23:29,0.129,kWh,validated
0000168329CK1A8,251140160,1,07/07/2024 23:30,07/07/2024 23:59,0.347,kWh,validated
